GT,15.38,15.51,15.41,3139618
GOOG,886.45,888.50,887.58,1717557
GTI,7.32,N/A,N/A,1634986
GPK,7.78,N/A,N/A,2283926
GMCR,75.70,77.27,77.15,3242841
GRPN,8.63,8.66,8.64,11150239
BSMX,14.30,N/A,N/A,1231929
TV,24.89,N/A,N/A,1378493
GES,31.15,N/A,N/A,528690
GPOR,47.69,47.95,45.53,1397447
HRB,27.87,N/A,N/A,2329384
HK,5.81,N/A,N/A,3273820
HAL,42.03,N/A,N/A,8624155
HALO,7.97,7.77,7.60,3598891
HOG,55.08,N/A,N/A,1842917
HIG,31.215,N/A,N/A,4051488
HAS,45.27,45.92,45.49,1333384
HCA,36.41,N/A,N/A,4618094
HCP,45.83,N/A,N/A,2042828
HDS,18.90,19.00,18.80,2050840
HCN,67.56,N/A,N/A,1603064
XLV,47.75,47.87,47.60,25891976
HMA,15.82,N/A,N/A,3253491
HNT,32.01,N/A,N/A,621046
HP,63.30,N/A,N/A,1106201
HLF,45.585,N/A,N/A,1020706
HERO,7.14,7.05,6.97,2171377
HT,5.68,N/A,N/A,807527
HTZ,24.94,N/A,N/A,4197726
HES,66.82,N/A,N/A,2294355
HPQ,24.95,N/A,N/A,9981310
HSH,33.20,N/A,N/A,1566554
HIMX,5.31,5.56,5.54,4756326
HFC,42.345,N/A,N/A,4370124
HOLX,19.52,19.60,19.52,3333601
HD,77.63,N/A,N/A,7470940
HON,79.97,N/A,N/A,2146517
HSP,38.27,N/A,N/A,1527007
HST,17.03,N/A,N/A,5576141
HOV,5.67,N/A,N/A,2935956
HBC,52.77,N/A,N/A,941099
HCBK,9.20,9.32,9.26,2231912
HUM,84.89,N/A,N/A,1171550
HBAN,7.94,8.06,8.05,11281498
HUN,16.71,N/A,N/A,2865223
IACI,47.84,47.56,47.41,636213
IBN,38.33,N/A,N/A,1232552
ITW,69.91,N/A,N/A,2671838
ILMN,75.21,78.99,74.95,1181956
INCY,22.40,22.97,22.80,2405594
XLI,42.99,43.12,39.19,15781427
INFN,10.70,11.83,9.87,876733
INFA,35.21,34.83,34.71,808737
INFY,40.95,N/A,N/A,1980539
ING,9.33,N/A,N/A,5181211
VOYA,27.10,N/A,N/A,832520
IR,55.89,N/A,N/A,2404041
IDTI,7.95,8.50,7.72,978412
INTC,24.32,23.89,23.87,29454408
ITMN,9.71,10.17,9.73,1316415
IBM,192.15,N/A,N/A,4442422
IGT,16.70,N/A,N/A,3965017
IP,44.55,N/A,N/A,4086230
IPG,14.67,N/A,N/A,2239631
ISIL,7.87,8.08,7.71,1144254
INTU,62.175,63.18,62.97,4436817
INVN,15.58,N/A,N/A,2378102
IVZ,32.14,N/A,N/A,3394982
IVR,16.63,N/A,N/A,1892236
VXX,20.39,20.19,20.18,44091656
IRM,26.64,N/A,N/A,1935628
SHY,84.26,84.64,83.95,4884725
TLT,109.73,110.36,110.01,5500732
TIP,111.37,112.47,111.56,1048426
IVV,162.12,163.16,161.39,20042360
AGG,106.92,107.59,106.72,950232
DVY,64.22,64.47,64.04,1183958
ITB,22.43,22.80,22.38,4100810
IYR,66.57,66.21,65.91,14941088
FXI,32.56,32.82,32.35,21180912
REM,12.73,12.69,12.43,1486281
IAU,12.05,12.21,12.15,7867679
HYG,90.57,91.08,90.32,5213388
LQD,113.08,114.11,113.20,2849878
EWA,22.43,24.00,20.60,1684022
EWZ,43.70,43.97,43.85,11768725
EWC,26.30,27.00,25.19,5730166
EFA,57.81,58.32,57.63,15315965
EEM,38.68,38.73,38.62,64189696
EZU,32.90,39.00,29.79,495253
EWG,24.92,24.95,24.72,3764596
EWH,18.45,18.44,17.90,1525941
EWI,12.04,12.10,11.00,704400
EWJ,11.35,11.42,9.46,28318228
EWM,15.57,16.29,13.37,1511993
EWW,65.52,66.36,65.15,4456068
EWS,12.69,14.75,12.26,5713825
EWY,53.95,53.80,52.53,2092064
EWT,13.42,14.00,13.00,6211110
EWU,17.88,22.00,14.80,972040
IWF,73.35,73.58,73.24,2374790
IWD,84.28,84.33,83.97,1932516
IWM,97.65,99.10,98.51,37811448
IWN,86.30,90.00,82.00,1048945
OEF,72.55,72.63,72.32,418313
PFF,39.13,39.20,39.01,2007580
SLV,18.98,19.03,18.91,14509803
ISIS,27.58,28.51,28.30,1690656
SFI,11.39,N/A,N/A,551958
ITUB,12.81,N/A,N/A,8764446
JCP,17.27,N/A,N/A,7086832
JBL,20.40,N/A,N/A,1795626
JNS,8.57,N/A,N/A,2380043
JAH,43.98,N/A,N/A,645334
JDSU,14.41,14.46,14.37,3090310
JBLU,6.33,6.40,6.37,2605061
JNJ,85.74,N/A,N/A,9906010
JCI,35.97,N/A,N/A,3778608
JOY,48.82,N/A,N/A,2060421
AMJ,46.76,48.18,47.64,730704
JPM,53.1801,N/A,N/A,23522936
JNPR,19.40,N/A,N/A,5371692
KBH,19.75,N/A,N/A,5148375
KBR,32.77,N/A,N/A,1131052
K,64.03,N/A,N/A,1566202
KERX,7.56,7.80,7.71,1460975
KEG,6.01,N/A,N/A,2390778
KEY,11.07,N/A,N/A,12290196
KMB,96.88,N/A,N/A,1482000
KIM,21.30,N/A,N/A,2849193
KMI,38.39,N/A,N/A,3693201
KGC,5.19,N/A,N/A,8969724
KKR,20.00,N/A,N/A,2379812
KLAC,56.18,55.18,55.10,1236132
KOG,9.00,N/A,N/A,5431427
KSS,50.86,N/A,N/A,2350333
KRFT,55.61,54.98,54.83,2451748
KKD,17.61,N/A,N/A,1037928
KR,34.69,N/A,N/A,2682160
LTD,49.61,N/A,N/A,2676520
LRCX,44.655,44.16,44.04,1688793
LVS,53.95,N/A,N/A,4952979
LSCC,5.16,5.57,4.65,448801
LEAP,6.83,6.81,6.69,2152243
