Date,Open,High,Low,Close,Volume,Adj Close
2012-05-08,29.01,29.45,27.51,29.26,1158900,19.51
2012-05-07,28.02,29.43,28.01,29.24,1167800,19.49
2012-05-04,28.93,28.93,27.93,28.58,1049400,19.05
2012-05-03,29.88,29.99,28.40,29.15,1908200,19.43
2012-05-02,31.19,31.40,29.80,30.04,1686300,20.03
2012-05-01,29.49,31.56,29.49,31.13,3155600,20.75
2012-04-30,29.18,29.84,29.00,29.49,1532800,19.66
2012-04-27,29.47,29.47,28.75,29.26,1294800,19.51
2012-04-26,28.00,29.17,27.25,29.05,1781400,19.37
2012-04-25,28.90,28.94,27.66,28.24,1390600,18.83
2012-04-24,27.51,28.75,27.29,28.47,1795600,18.98
2012-04-23,27.55,27.81,26.55,27.49,1033000,18.33
2012-04-20,27.84,28.52,27.46,27.95,1468800,18.63
2012-04-19,27.66,28.24,26.86,27.28,1313000,18.19
2012-04-18,27.51,27.75,26.55,27.55,1482600,18.37
2012-04-17,26.89,28.39,26.80,27.60,2444200,18.40
2012-04-16,25.02,27.55,25.00,26.28,3563400,17.52
2012-04-13,24.40,24.73,24.03,24.42,796400,16.28
2012-04-12,23.45,24.57,23.10,24.39,1452300,16.26
2012-04-11,22.71,23.70,22.50,23.10,1147000,15.40
2012-04-10,23.54,23.80,22.25,22.43,1858400,14.95
2012-04-09,23.64,24.00,23.45,23.59,1174800,15.73
2012-04-05,24.80,24.90,23.90,24.33,7218600,16.22
2012-04-04,24.63,24.93,24.26,24.80,1531500,16.53
2012-04-03,25.23,25.72,24.82,24.91,4195500,16.61
2012-04-02,24.41,24.90,23.82,24.25,1494200,16.17
2012-03-30,23.77,23.82,23.23,23.54,493200,15.69
2012-03-29,23.09,23.67,22.82,23.52,547400,15.68
2012-03-28,23.66,23.66,22.98,23.20,617000,15.47
2012-03-27,23.96,23.98,23.43,23.56,734700,15.71
2012-03-26,24.28,24.37,23.71,24.00,869400,16.00
2012-03-23,24.86,24.86,23.11,23.91,1141500,15.94
2012-03-22,23.10,23.40,22.61,23.11,734400,15.41
2012-03-21,23.04,23.84,22.86,23.45,761600,15.63
2012-03-20,23.01,23.14,22.40,22.88,575800,15.25
2012-03-19,23.06,23.54,22.81,23.18,785700,15.45
2012-03-16,23.31,23.46,23.04,23.07,829000,15.38
2012-03-15,22.93,23.44,22.64,23.19,825400,15.46
2012-03-14,21.96,23.02,21.96,22.82,1040100,15.21
2012-03-13,21.84,21.99,21.67,21.86,1450200,14.57
2012-03-12,22.00,22.23,21.41,21.72,1073600,14.48
2012-03-09,22.33,22.42,21.81,21.90,1253100,14.60
2012-03-08,22.16,22.60,21.91,22.10,632200,14.73
2012-03-07,21.88,22.46,21.82,21.87,1146200,14.58
2012-03-06,21.98,22.08,20.89,21.71,1419800,14.47
2012-03-05,22.50,22.80,22.16,22.20,741300,14.80
2012-03-02,23.00,23.06,22.00,22.54,1036600,15.03
2012-03-01,22.75,23.51,22.49,22.82,1139700,15.21
2012-02-29,23.71,24.03,22.37,22.40,1878200,14.93
2012-02-28,24.68,24.85,23.59,23.68,1187700,15.79
2012-02-27,24.49,25.03,23.93,24.52,1669500,16.35
2012-02-24,24.99,25.00,23.55,24.15,2919800,16.10
2012-02-23,23.00,25.77,22.90,23.31,5114200,15.54
2012-02-22,21.04,21.19,20.50,20.93,505200,13.95
2012-02-21,21.05,21.45,20.92,21.00,572000,14.00
2012-02-17,21.53,21.75,20.84,20.91,671100,13.94
2012-02-16,20.38,21.54,20.33,21.54,616800,14.36
2012-02-15,20.94,21.00,20.30,20.38,454000,13.59
